"Review","Risk_Score","weighted_kappa","n_studies"
"Adan","D1_Risk",0.0863787375415282,22
"Adan","D2_Risk",0.189473684210526,22
"Adan","D3_Risk",0.526315789473684,22
"Adan","D4_Risk",-0.0287769784172663,22
"Adan","D5_Risk",0.403940886699507,22
"Adan","D6_Risk",0.646464646464646,21
"Adan","Overall_Risk",0.337349397590361,22
"Arfaie","D1_Risk",0,7
"Arfaie","D2_Risk",0.0540540540540547,7
"Arfaie","D3_Risk",0,7
"Arfaie","D4_Risk",NA,7
"Arfaie","D5_Risk",0.03448275862069,7
"Arfaie","D6_Risk",0,7
"Arfaie","Overall_Risk",0.32258064516129,7
"Giuliani","D1_Risk",0.0786240786240787,25
"Giuliani","D3_Risk",-0.106194690265487,25
"Giuliani","D4_Risk",-0.104972375690608,25
"Giuliani","D5_Risk",0.232633279483037,25
"Giuliani","D6_Risk",0.3142144638404,25
"Giuliani","Overall_Risk",0.0219092331768388,25
"Wassenaar","D1_Risk",0.126984126984127,11
"Wassenaar","D2_Risk",-0.0864197530864198,11
"Wassenaar","D3_Risk",0,11
"Wassenaar","D4_Risk",-0.0312499999999999,11
"Wassenaar","D5_Risk",0.297872340425532,11
"Wassenaar","D6_Risk",-0.142857142857143,11
"Wassenaar","Overall_Risk",0,11
"West","D1_Risk",0.370786516853933,28
"West","D2_Risk",0,6
"West","D3_Risk",0.0967741935483866,28
"West","D4_Risk",-0.041666666666667,28
"West","D5_Risk",0.157894736842105,8
"West","D6_Risk",-0.0138445154419595,28
"West","Overall_Risk",0.028708133971292,28
